task_id,difficulty,topic,status,n_solved,n_attempts,best,mean,worst
lcb/3788,easy,dynamic programming,partially_solved,7,12,100.0,70.6,11.8
lcb/3832,easy,greedy/array,partially_solved,8,12,100.0,70.7,12.1
lcb/3702,easy,greedy/array,partially_solved,8,12,100.0,73.5,8.8
lcb/3621,easy,greedy/array,partially_solved,8,12,100.0,74.8,17.6
lcb/3625,easy,simulation/geometry,partially_solved,6,12,100.0,78.8,24.2
lcb/3773,easy,intervals/sorting,partially_solved,9,12,100.0,88.6,36.4
lcb/3617,easy,string,partially_solved,8,12,100.0,88.7,64.7
lcb/3676,easy,math/number,partially_solved,10,12,100.0,89.2,35.3
lcb/3656,easy,greedy/array,partially_solved,9,12,100.0,91.2,58.8
lcb/3644,easy,greedy/array,partially_solved,11,12,100.0,91.7,0.0
lcb/3685,easy,greedy/array,partially_solved,11,12,100.0,91.7,0.0
lcb/3605,easy,greedy/array,partially_solved,11,12,100.0,91.9,3.0
lcb/3632,easy,intervals/sorting,partially_solved,8,12,100.0,94.9,84.8
lcb/3708,easy,greedy/array,partially_solved,8,12,100.0,96.1,88.2
lcb/3684,easy,string,partially_solved,8,12,100.0,96.8,88.2
lcb/3705,easy,greedy/array,partially_solved,9,12,100.0,97.0,88.2
lcb/3753,easy,string,partially_solved,11,12,100.0,97.7,72.7
lcb/3519,easy,greedy/array,fully_solved,12,12,100.0,100.0,100.0
lcb/3533,easy,greedy/array,fully_solved,12,12,100.0,100.0,100.0
lcb/3543,easy,string,fully_solved,12,12,100.0,100.0,100.0
lcb/3553,easy,simulation/geometry,fully_solved,12,12,100.0,100.0,100.0
lcb/3555,easy,greedy/array,fully_solved,12,12,100.0,100.0,100.0
lcb/3567,easy,string,fully_solved,12,12,100.0,100.0,100.0
lcb/3568,easy,math/number,fully_solved,12,12,100.0,100.0,100.0
lcb/3600,easy,string,fully_solved,12,12,100.0,100.0,100.0
lcb/3606,easy,greedy/array,fully_solved,12,12,100.0,100.0,100.0
lcb/3610,easy,greedy/array,fully_solved,12,12,100.0,100.0,100.0
lcb/3612,easy,greedy/array,fully_solved,12,12,100.0,100.0,100.0
lcb/3616,easy,greedy/array,fully_solved,12,12,100.0,100.0,100.0
lcb/3626,easy,math/number,fully_solved,12,12,100.0,100.0,100.0
lcb/3636,easy,string,fully_solved,12,12,100.0,100.0,100.0
lcb/3651,easy,greedy/array,fully_solved,12,12,100.0,100.0,100.0
lcb/3704,easy,dynamic programming,fully_solved,12,12,100.0,100.0,100.0
lcb/3709,easy,string,fully_solved,12,12,100.0,100.0,100.0
lcb/3723,easy,greedy/array,fully_solved,12,12,100.0,100.0,100.0
lcb/3731,easy,greedy/array,fully_solved,12,12,100.0,100.0,100.0
lcb/3736,easy,string,fully_solved,12,12,100.0,100.0,100.0
lcb/3747,easy,greedy/array,fully_solved,12,12,100.0,100.0,100.0
lcb/3768,easy,string,fully_solved,12,12,100.0,100.0,100.0
lcb/3778,easy,intervals/sorting,fully_solved,12,12,100.0,100.0,100.0
lcb/3799,easy,greedy/array,fully_solved,12,12,100.0,100.0,100.0
lcb/3811,easy,string,fully_solved,12,12,100.0,100.0,100.0
lcb/3817,easy,other,fully_solved,12,12,100.0,100.0,100.0
lcb/3743,medium,intervals/sorting,partially_solved,2,12,100.0,37.0,0.0
lcb/3763,medium,intervals/sorting,never_solved,0,12,50.0,37.9,0.0
lcb/3716,medium,dynamic programming,partially_solved,1,12,100.0,48.9,0.0
lcb/3714,medium,dynamic programming,partially_solved,3,12,100.0,57.4,0.0
